Time,X,Y
1784807674497.9949,0.42303,0.96983
1784807674538.345,0.39986,0.96992
1784807674598.242,0.37655,0.96972
1784807674737.557,0.35245,0.96989
1784807674737.823,0.32752,0.96994
1784807674757.7112,0.30169,0.97004
1784807674797.5627,0.27543,0.9704
1784807674858.5642,0.24964,0.97047
1784807674918.5012,0.22597,0.97023
1784807674957.491,0.20542,0.97021
1784807675038.566,0.18682,0.9705
1784807675059.115,0.1689,0.9706
1784807675099.774,0.15218,0.97039
1784807675159.0898,0.13679,0.97004
1784807675241.801,0.12445,0.96982
1784807675258.362,0.11483,0.96941
1784807675319.0952,0.10734,0.96867
1784807675358.6362,0.1,0.96824
1784807675418.644,0.09177,0.96836
1784807675478.373,0.08286,0.96768
1784807675518.551,0.07352,0.96725
1784807675559.0132,0.06473,0.96678
1784807675618.1628,0.05739,0.96606
1784807675766.544,0.05137,0.96531
1784807675778.4473,0.04664,0.9652
1784807675779.147,0.04299,0.96588
1784807675838.3,0.03993,0.96596
1784807675877.6729,0.03696,0.96585
1784807675938.457,0.03305,0.96566
1784807675978.334,0.02832,0.96531
1784807676042.94,0.02384,0.96499
1784807676078.5962,0.01973,0.96455
1784807676118.1572,0.01686,0.96461
1784807676178.877,0.01554,0.96468
1784807676218.178,0.01531,0.96493
1784807676278.924,0.01518,0.96519
1784807676318.298,0.01534,0.96529
1784807676378.9492,0.01566,0.96526
1784807676417.774,0.01587,0.96528
1784807676499.3643,0.01595,0.9653
1784807676518.126,0.01512,0.96492
1784807676591.923,0.01027,0.96019
1784807676617.9941,0.00392,0.94358
1784807676678.288,0.00141,0.91481
1784807676718.365,-0.00024,0.88449
1784807676838.25,-0.00181,0.85615
1784807676838.749,-0.00207,0.82847
1784807676878.607,-0.00209,0.80029
1784807676938.4019,-0.00273,0.77216
1784807676978.2222,-0.00314,0.74398
1784807677058.4253,-0.00335,0.71673
1784807677078.729,-0.00396,0.69055
1784807677153.639,-0.00495,0.66591
1784807677178.3909,-0.00626,0.64226
1784807677238.245,-0.00776,0.61901
1784807677278.296,-0.00973,0.59552
1784807677338.36,-0.01114,0.5713
1784807677398.008,-0.01266,0.5211
1784807677438.2551,-0.01277,0.49564
1784807677498.3262,-0.01277,0.49564
1784807677538.518,-0.01242,0.44505
1784807677618.269,-0.01237,0.42013
1784807677638.13,-0.01252,0.39505
1784807677718.27,-0.01252,0.39505
1784807677737.991,-0.01395,0.34617
1784807677878.451,-0.01469,0.32197
1784807677878.987,-0.01546,0.29839
1784807677898.387,-0.01578,0.27667
1784807677959.2742,-0.01541,0.2577
1784807677998.53,-0.01452,0.23905
1784807678058.8027,-0.01346,0.22091
1784807678098.412,-0.01257,0.20421
1784807678139.2961,-0.01184,0.19045
1784807678198.2249,-0.01164,0.17943
1784807678239.5288,-0.01153,0.17013
1784807678298.316,-0.01203,0.16247
1784807678338.523,-0.01203,0.16247
1784807678398.831,-0.01314,0.14674
1784807678438.556,-0.01293,0.13841
1784807678520.677,-0.01232,0.12981
1784807678538.161,-0.01106,0.12165
1784807678611.608,-0.00967,0.11445
1784807678638.218,-0.00801,0.10842
1784807678697.949,-0.00691,0.10383
1784807678748.404,-0.0068,0.10075
1784807678797.678,-0.00726,0.09886
1784807678919.125,-0.00854,0.09703
1784807678920.011,-0.00982,0.09434
1784807678959.859,-0.01038,0.091
1784807678997.916,-0.00994,0.08684
1784807679078.499,-0.00867,0.08307
1784807679098.4111,-0.00665,0.0814
1784807679183.127,-0.00467,0.082
1784807679198.581,-0.0035,0.08217
1784807679258.698,-0.00287,0.08231
1784807679320.3872,-0.00265,0.08236
1784807679359.217,-0.00283,0.08245
1784807679398.6628,-0.00313,0.08238
1784807679457.953,-0.00293,0.08233
1784807679519.817,0.00123,0.08203
1784807679559.156,0.01644,0.0814
1784807679599.135,0.0437,0.07901
1784807679657.639,0.0738,0.07666
1784807679697.466,0.10556,0.07435
1784807679757.637,0.1385,0.07274
1784807679797.66,0.17071,0.07123
1784807679857.93,0.19984,0.06993
1784807679979.287,0.22517,0.06882
1784807679979.809,0.24725,0.06771
1784807679999.452,0.26774,0.06687
1784807680070.5437,0.28855,0.06599
1784807680099.863,0.31111,0.06554
1784807680159.6238,0.3364,0.06544
1784807680199.837,0.36366,0.06532
1784807680259.621,0.39172,0.06524
1784807680326.4482,0.41915,0.06532
1784807680359.54,0.44497,0.06528
1784807680419.6648,0.46895,0.065
1784807680459.553,0.49214,0.06478
1784807680533.3079,0.51533,0.06462
1784807680559.774,0.53908,0.06451
1784807680632.981,0.56374,0.0644
1784807680659.3752,0.5896,0.06412
1784807680719.5288,0.6158,0.06368
1784807680779.722,0.64179,0.06366
1784807680819.647,0.66663,0.06385
1784807680860.8188,0.69075,0.06369
1784807681009.519,0.71276,0.06331
1784807681019.291,0.73133,0.06307
1784807681020.011,0.74545,0.06341
1784807681099.6611,0.75476,0.06382
1784807681119.669,0.76113,0.06439
1784807681198.6829,0.76758,0.06491
1784807681219.687,0.77566,0.06614
1784807681281.136,0.78638,0.0673
1784807681339.674,0.7995,0.06748
1784807681422.517,0.81388,0.06797
1784807681439.005,0.83726,0.06876
1784807681499.666,0.83726,0.06876
1784807681559.552,0.8476,0.06947
1784807681598.835,0.84993,0.06949
1784807681660.194,0.85192,0.06932
1784807681699.378,0.85477,0.06934
1784807681761.527,0.85864,0.06922
